,月份,样地,水温（T）,总溶解固体（TDS）,土壤电导率（EC）,pH,溶解氧（DO）,化学耗氧量（COD）,生物耗氧量（BOD）,氨氮（NH3-N）,总氮（TN）,总磷（TP）,总硬度,硫化物,粪大肠菌群,铬（Cr）,铜（Cu）,锌（Zn）,砷（As）,铅（Pb）
28,8月,夏秋草地,23,167,497,8.01,4.81,60,26,2.46,5.44,2.07,265,0.02,134000,0.373,0.054,0.1,0.006,0.002
29,8月,夏秋草地,22,214,421,7.87,4.55,58,27,2.88,5.63,2.26,237,0.016,125000,0.284,0.062,0.098,0.004,0.001
30,9月,夏秋草地,18,307,628,7.04,4.58,58,32,2.34,6.21,1.98,335,0.018,71000,0.094,0.058,0.098,0.005,0.003
31,9月,夏秋草地,19,258,528,7.31,5.13,51,27,2.08,5.87,1.74,321,0.025,95000,0.102,0.069,0.104,0.003,0.005
32,9月,夏秋草地,19,245,380,7.01,4.54,47,28,2.06,7.21,2.37,309,0.023,122000,0.098,0.069,0.096,0.003,0.003
33,9月,夏秋草地,18,278,558,7.15,5.12,52,29,2.19,6.46,2.07,327,0.017,95000,0.096,0.059,0.098,0.004,0.003
34,9月,夏秋草地,19,263,541,7.21,4.97,56,28,2.07,5.99,1.83,316,0.15,99000,0.101,0.062,0.102,0.004,0.004
35,9月,夏秋草地,19,270,512,7.09,5.13,48,29,2.16,6.43,2.25,321,0.016,96000,0.095,0.061,0.11,0.005,0.005
36,7月,禁牧草地（花湖）,19,127,256,6.93,6.81,25,7,0.34,1.63,0.31,185,0.003,35000,0.105,0.03,0.112,0.002,0.003
37,7月,禁牧草地（花湖）,21,116,236,6.81,5.93,19,10,0.28,1.47,0.35,153,0.003,28000,0.089,0.035,0.098,0.004,0.005
38,7月,禁牧草地（花湖）,20,112,247,6.92,5.87,23,9,0.31,1.57,0.42,167,0.002,31000,0.091,0.031,0.107,0.003,0.003
39,7月,禁牧草地（花湖）,21,123,231,6.95,6.33,20,8,0.3,1.49,0.39,151,0.001,30000,0.101,0.029,0.112,0.004,0.004
40,7月,禁牧草地（花湖）,20,118,257,6.88,5.91,24,9,0.29,1.62,0.37,173,0.002,27000,0.094,0.028,0.109,0.002,0.04
41,7月,禁牧草地（花湖）,20,121,244,6.9,6.27,23,9,0.32,1.58,0.32,169,0.001,32000,0.09,0.033,0.098,0.003,0.004
42,7月,禁牧草地（花湖）,21,109,252,7.01,6.05,22,9,0.33,1.6,0.36,178,0.001,35000,0.103,0.031,0.103,0.005,0.004
43,7月,禁牧草地（花湖）,20,129,236,6.98,5.97,21,9,0.31,1.47,0.33,147,0.0,29000,0.095,0.035,0.111,0.002,0.003
44,7月,禁牧草地（花湖）,21,114,231,6.89,5.72,25,10,0.29,1.55,0.41,139,0.0,31000,0.097,0.032,0.105,0.003,0.05
45,7月,禁牧草地（花湖）,20,136,288,6.74,7.54,22,7,0.31,1.49,0.42,131,0.003,36000,0.0880000000000001,0.028,0.099,0.0054,0.004
46,8月,禁牧草地（花湖）,26,178,364,6.97,5.33,27,8,0.54,0.77,0.41,201,0.003,39000,0.094,0.041,0.037,0.006,0.005
47,8月,禁牧草地（花湖）,25,138,278,6.91,5.51,34,17,0.68,0.81,0.37,193,0.002,34000,0.101,0.028,0.046,0.004,0.008
48,8月,禁牧草地（花湖）,25,157,288,6.95,5.42,32,10,0.65,0.77,0.37,195,0.001,35000,0.092,0.027,0.037,0.003,0.005
49,8月,禁牧草地（花湖）,26,141,351,6.91,5.58,33,14,0.58,0.8,0.39,199,0.001,35000,0.088,0.037,0.046,0.003,0.005
50,8月,禁牧草地（花湖）,26,172,347,6.93,5.44,33,13,0.66,0.78,0.41,189,0.003,39000,0.097,0.029,0.044,0.005,0.005
51,8月,禁牧草地（花湖）,26,144,295,6.93,5.36,28,17,0.55,0.77,0.38,192,0.001,37000,0.091,0.033,0.047,0.005,0.008
52,8月,禁牧草地（花湖）,26,164,358,6.97,5.52,34,9,0.65,0.8,0.4,195,0.003,36000,0.087,0.025,0.039,0.004,0.007
53,8月,禁牧草地（花湖）,25,158,362,6.92,5.4,30,8,0.58,0.79,0.37,188,0.002,38000,0.096,0.038,0.038,0.005,0.005
54,8月,禁牧草地（花湖）,25,137,284,6.91,5.6,32,5,0.7,0.76,0.39,187,0.001,35000,0.081,0.021,0.049,0.003,0.008
55,9月,禁牧草地（花湖）,21,136,276,7.03,5.47,32,7,0.43,1.7,0.32,180,0.004,37000,0.073,0.031,0.051,0.002,0.004
56,9月,禁牧草地（花湖）,20,126,256,7.07,5.01,26,11,0.37,1.4,0.29,197,0.007,31000,0.061,0.035,0.053,0.005,0.006
57,9月,禁牧草地（花湖）,21,126,235,7.05,4.97,23,9,0.34,1.7,0.32,162,0.004,49000,0.049,0.03,0.054,0.002,0.005
58,9月,禁牧草地（花湖）,21,128,245,7.04,5.03,27,10,0.37,1.5,0.32,178,0.005,39000,0.062,0.032,0.052,0.003,0.005
59,9月,禁牧草地（花湖）,21,128,261,7.03,4.98,26,11,0.38,1.5,0.32,169,0.004,37000,0.059,0.034,0.053,0.002,0.004
60,9月,禁牧草地（花湖）,21,131,238,7.04,5.33,30,10,0.42,1.4,0.31,173,0.006,39000,0.061,0.03,0.054,0.003,0.005
61,9月,禁牧草地（花湖）,21,135,266,7.05,5.45,31,11,0.41,1.7,0.3,181,0.004,40000,0.062,0.031,0.053,0.003,0.005
62,9月,禁牧草地（花湖）,20,136,247,7.04,5.39,28,10,0.39,1.6,0.29,185,0.007,36000,0.069,0.032,0.051,0.004,0.006
63,9月,禁牧草地（花湖）,21,129,252,7.03,5.12,24,9,0.35,1.7,0.3,194,0.004,40000,0.048,0.033,0.052,0.005,0.005
