,季节,类型,测定时间,气温第一天,气温第二天,气温第三天,湿度第一天,湿度第二天,湿度第三天,NH3第一天,NH3第二天,NH3第三天,PM10第一天,PM10第二天,PM10第三天
59,暖,A3,9,26.3,29.55,26.05,84.9,85.35,88.4,10.84,nan,nan,nan,nan,nan
60,暖,A3,10,28.75,32.2,29.55,77.3,75.55,75.55,12.15,17.91785714,20.86107143,nan,nan,nan
61,暖,A3,11,31.95,33.85,32.2,63.3,63.4,63.4,nan,nan,nan,nan,nan,nan
62,暖,A3,12,34.65,34.65,33.85,53.9,56.65,56.65,nan,nan,nan,52.79166667,34.03703704,43.41
63,暖,A3,13,36.95,33.75,34.85,48.3,51.75,48.3,5.14,nan,nan,nan,nan,nan
64,暖,A3,14,38.75,31.3,37,40.6,50.5,39,2.36,1.721481481,2.358076923,nan,nan,nan
65,暖,A3,15,38.6,30.7,35.7,40.35,57.45,44.9,nan,nan,5.133255814,nan,nan,nan
66,暖,A3,16,38,29.6,34.95,43.05,61.95,47.55,nan,nan,nan,nan,nan,nan
67,暖,A3,17,34.5,29.55,33.95,50.6,68.05,51.2,nan,nan,nan,nan,nan,nan
68,暖,A3,18,32.15,28.8,31.7,57.8,69,59.2,nan,nan,5.047647059,nan,nan,nan
69,暖,A3,19,30.45,27.8,30.15,64.1,71.15,64.85,5.05,1.938181818,3.288965517,nan,nan,nan
70,暖,A3,20,29.5,27.45,29.15,67.75,74.65,69.25,nan,nan,3.350967742,88.75,89.75,87.75
71,暖,A3,21,28.9,26.95,28.35,70.3,76.8,70.9,4.86,3.116470588,2.74,nan,nan,nan
72,暖,A3,22,28.8,26.25,27.6,71.75,79.95,73.8,nan,nan,nan,nan,nan,nan
73,暖,A3,23,28.4,25.65,27.45,73.75,83.15,74.05,9.6,3.957407407,4.729354839,nan,nan,nan
74,暖,A3,24,28,28,27.05,76.05,85.05,76.9,nan,4.757435897,nan,70.75,71.75,69.75
75,暖,B1,0,18.7,18,18.1,81.6,95.43333333,95.46666667,8.62,nan,nan,nan,nan,nan
76,暖,B1,1,18.93333333,17.83333333,17.6,84.06666667,96.16666667,94.06666667,5.95,nan,nan,nan,nan,nan
77,暖,B1,2,18.23333333,17.63333333,17.33333333,85.8,96.53333333,96.93333333,5.91,nan,nan,nan,nan,nan
78,暖,B1,3,17.9,17.23333333,17.3,84.6,99,97.4,7.66,nan,nan,nan,nan,nan
79,暖,B1,4,18.16666667,16.93333333,16.9,87.2,98.66666667,97.36666667,6.49,nan,nan,nan,nan,nan
80,暖,B1,5,17.3,16.76666667,16.73333333,88.4,98,96.7,5.15,nan,nan,nan,nan,nan
81,暖,B1,6,17.23333333,17.33333333,16.56666667,90.76666667,99.63333333,97.73333333,4.47,nan,nan,nan,nan,nan
82,暖,B1,7,17.83333333,17.73333333,17,90.8,98.66666667,97.93333333,8.19,nan,nan,nan,nan,nan
83,暖,B1,8,18.63333333,17.8,17.36666667,88.46666667,98.3,98.53333333,7.5,nan,nan,3,16.07,2.75
84,暖,B1,9,18.66666667,16.93333333,16.73333333,87.93333333,99.23333333,95.26666667,nan,nan,nan,nan,nan,nan
85,暖,B1,10,19.56666667,16.7,18.93333333,84.1,99.9,88.26666667,6.09,nan,nan,nan,nan,nan
86,暖,B1,11,23.2,18.4,24.8,70.16666667,96.5,66.9,nan,nan,nan,nan,nan,nan
87,暖,B1,12,25.43333333,22.36666667,24.5,64.73333333,80.1,60.36666667,4.75,nan,nan,1.555555556,1.5,1.083333333
88,暖,B1,13,25.7,26.06666667,24.33333333,61.6,65.5,61.63333333,nan,nan,nan,nan,nan,nan
89,暖,B1,14,26.6,21.73333333,25.56666667,62.2,77.83333333,61.53333333,5.03,nan,nan,nan,nan,nan
90,暖,B1,15,23.3,24.23333333,24.36666667,65.5,76.4,61,nan,nan,nan,nan,nan,nan
91,暖,B1,16,22.65,20.3,24.76666667,68.4,82.1,60.6,3.89,nan,nan,nan,nan,nan
92,暖,B1,17,22.53333333,20.16666667,24.43333333,69.6,84.63333333,61.8,nan,nan,nan,nan,nan,nan
93,暖,B1,18,22.3,20.86666667,23.13333333,70.2,87,62.5,5.74,nan,nan,nan,nan,nan
94,暖,B1,19,22,19.9,22.53333333,71.8,89.73333333,66.4,nan,nan,nan,nan,nan,nan
95,暖,B1,20,21.85,19.46666667,20.93333333,72.7,91.9,75.43333333,5.3,nan,nan,1.740740741,1.5,1.333333333
96,暖,B1,21,18.76666667,18.4,19.7,86.5,91.66666667,78.03333333,nan,nan,nan,nan,nan,nan
97,暖,B1,22,18.56666667,18.36666667,19.3,90.2,91.33333333,78.66666667,4.91,nan,nan,nan,nan,nan
98,暖,B1,23,18.1,17.96666667,18.46666667,92.73333333,92.46666667,81.43333333,nan,nan,nan,nan,nan,nan
99,暖,B1,24,17.96666667,18.1,18.7,95.43333333,95.46666667,81.56666667,3.74,nan,nan,2.25,1,1
100,暖,B2,0,18.55,18.3,18,83.9,97.95,97.95,21.92,nan,nan,nan,nan,nan
101,暖,B2,1,18.65,18,17.4,86.8,98.85,96.55,15.43,nan,nan,nan,nan,nan
102,暖,B2,2,18.05,17.5,17.1,88.3,98.95,99.05,10.4,nan,nan,nan,nan,nan
103,暖,B2,3,17.75,17.05,17.25,86.75,99.9,99.4,15.09,nan,nan,nan,nan,nan
104,暖,B2,4,17.9,16.8,16.65,90.3,99.65,99.25,11.42,nan,nan,nan,nan,nan
105,暖,B2,5,16.9,16.45,16.7,91.5,99.5,99.4,6.61,nan,nan,nan,nan,nan
106,暖,B2,6,17,17.15,16.3,94.25,99.9,99.6,15.79,nan,nan,nan,nan,nan
107,暖,B2,7,17.75,17.35,16.85,94,99.9,99.9,22.47,nan,nan,nan,nan,nan
108,暖,B2,8,19,17.55,17.15,90.2,99.8,99.9,22.09,nan,nan,1.777777778,3.777777778,1.708333333
109,暖,B2,9,19.2,16.8,16.3,89.1,99.7,98.3,nan,nan,nan,nan,nan,nan
110,暖,B2,10,20.85,16.9,19.45,83.05,99.9,92.85,7.22,nan,nan,nan,nan,nan
111,暖,B2,11,26.35,19.9,29.05,64.9,94.95,61.55,nan,nan,nan,nan,nan,nan
112,暖,B2,12,29.7,25.9,27.45,55.3,74.35,54.85,5.38,nan,nan,1,1.791666667,1.416666667
113,暖,B2,13,30.1,31.25,26.85,53.2,54.3,56.15,nan,nan,nan,nan,nan,nan
114,暖,B2,14,29.8,22.85,28.3,51.1,72.6,57.5,10.67,nan,nan,nan,nan,nan
115,暖,B2,15,26.6,27.05,26.15,56.7,69.75,55.9,nan,nan,nan,nan,nan,nan
116,暖,B2,16,25.575,20.35,26.35,57.2,81.35,56.55,4.81,nan,nan,nan,nan,nan
117,暖,B2,17,24.15,20.55,27.75,58.6,84.15,55.15,nan,nan,nan,nan,nan,nan
118,暖,B2,18,23.35,21.45,23.65,62.4,86.15,61.05,3.73,nan,nan,nan,nan,nan
119,暖,B2,19,22.55,20.1,22.9,67.1,89.8,65.15,nan,nan,nan,nan,nan,nan
120,暖,B2,20,21.65,19.5,20.8,74.05,93.7,76.4,6.93,nan,nan,1.481481481,2.541666667,1.583333333
121,暖,B2,21,18.75,18.15,19.45,89.75,93.2,80,nan,nan,nan,nan,nan,nan
122,暖,B2,22,18.45,17.95,19,93.5,93.1,80.85,4.79,nan,nan,nan,nan,nan
123,暖,B2,23,17.8,17.75,18.1,95.55,95.25,83.5,nan,nan,nan,nan,nan,nan
124,暖,B2,24,18.3,17.95,18.6,97.95,97.95,83.9,4.36,nan,nan,2.148148148,1.666666667,1.125
125,暖,C,0,19.86,23.44,20.32,91.48,89.62,99.9,18.53,nan,nan,nan,nan,nan
126,暖,C,1,19.08,20.14,19.7,92.56,94.26,99.9,12.77,nan,nan,nan,nan,nan
127,暖,C,2,18.64,20.18,19.36,94.22,95.86,99.9,18.4,nan,nan,nan,nan,nan
128,暖,C,3,18.08,20.18,19.02,93.18,98.34,99.9,23.73,nan,nan,nan,nan,nan
129,暖,C,4,17.82,19.94,19.16,94.78,99.26,99.9,20.71,nan,nan,nan,nan,nan
130,暖,C,5,17.72,19.86,18.96,96.34,99.86,99.9,20.03,nan,nan,nan,nan,nan
131,暖,C,6,17.56,19.74,18.96,97.3,99.9,99.9,21.59,nan,nan,nan,nan,nan
132,暖,C,7,17.58,19.66,18.46,97.56,99.9,99.9,20.93,nan,nan,nan,nan,nan
133,暖,C,8,17.98,19.78,18.76,96.62,99.9,99.9,32.03,nan,nan,9.72,1.36,7.68
134,暖,C,9,18.6,19.84,19.74,93.28,99.9,96.36,20.75,nan,nan,nan,nan,nan
135,暖,C,10,19.94,20.24,21.94,87.54,98.52,88.24,27.51,nan,nan,nan,nan,nan
136,暖,C,11,21.44,20.24,23.88,83.34,99.62,81.8,22.63,nan,nan,nan,nan,nan
137,暖,C,12,22.74,19.74,24.86,76.68,99.9,76.92,19.13,nan,nan,4,1.84,2.8
138,暖,C,13,24.66,20.12,25.64,70.36,99.9,70.58,nan,nan,nan,nan,nan,nan
139,暖,C,14,26.34,20.46,27,64.44,99.4,68.34,18.38,nan,nan,nan,nan,nan
140,暖,C,15,27.1,21.94,27.42,60.12,96.78,67.28,nan,nan,nan,nan,nan,nan
141,暖,C,16,27.36,23.3,27.38,62.44,87.06,64.36,20.68,nan,nan,nan,nan,nan
142,暖,C,17,26.22,24.44,27.08,56.04,87,73.32,nan,nan,nan,nan,nan,nan
143,暖,C,18,28.34,24.24,26.28,67.66,86.44,67.32,22.18,nan,nan,nan,nan,nan
144,暖,C,19,27.28,23.92,24.96,73.86,94.22,68.26,nan,nan,nan,nan,nan,nan
145,暖,C,20,26.5,22.8,23.38,74.74,96.78,76.4,21.78,nan,nan,4.08,24.68,8.28
146,暖,C,21,25.12,21.96,22.36,78.78,98.72,81.88,nan,nan,nan,nan,nan,nan
147,暖,C,22,24.08,20.82,21.48,83.1,99.8,86.54,21.44,nan,nan,nan,nan,nan
148,暖,C,23,23.58,20.3,20.64,86.34,99.9,89,nan,nan,nan,nan,nan,nan
149,暖,C,24,23.44,20.32,19.86,89.62,99.9,91.48,20.69,nan,nan,5.933333333,9.293333333,6.253333333
150,冷,A2,8,5.24,3.86,4.18,69.5,68,67,6.39,7.224736842,5.554545455,132.6296296,81.14814815,78.11111111
151,冷,A2,12,9.82,11.22,10.52,51,45.2,48.1,5.42,6.779545455,4.050833333,57.11111111,40.72222222,18.38888889
152,冷,A2,20,9.16,10.28,7.6,48.8,45.4,58.67,6.533571429,10.16322581,8.348398618,46.61111111,51.05555556,61.61111111
153,冷,A2,24,6.69,7.16,7.04,61.2,65.2,57,4.94675,8.139642857,6.543196429,61.63333333,65.3,104.7666667
154,冷,A3,8,4.83,3.87,3.97,71,69.67,68.33,3.733636364,7.066315789,3.516470588,88.6,82.24,81.24
155,冷,A3,12,10.93,11.13,11.03,50,48,49,5.42119213,6.713125,4.129259259,54.58823529,42.05882353,18.17647059
156,冷,A3,20,10,9.63,7.23,48.6,47.67,60.67,3.7153125,11.55066667,4.7884,75.625,43.79166667,62.375
157,冷,A3,24,6.2,6.87,6.43,61,66.33,59.33,2.779130435,5.396086957,8.261904762,65.14814815,57.33333333,94.55555556
158,冷,B1,8,2.425,2.825,1.9,41.5,48.5,44.75,4.888,3.98,4.754705882,0.740740741,1,1.444444444
159,冷,B1,12,6.25,9.25,10.725,39.5,43.25,30.75,7.100526316,4.677142857,6.014090909,1.814814815,6.555555556,4.481481481
160,冷,B1,20,7.575,7.55,7.95,55.25,29.25,26.25,4.988,5.613529412,4.514782609,25.55555556,12.59259259,20.37037037
161,冷,B1,24,5.85,5.175,5.625,52.5,34.5,31.75,4.318421053,10.40875,6.959565217,0.222222222,1,0.333333333
162,冷,B2,8,-0.75,0.025,-0.925,52.5,60.5,56,6.797272727,4.703809524,6.538076923,1.777777778,1.37037037,1.962962963
163,冷,B2,12,8.1,9.5,11.15,40.75,40.75,31.5,8.406521739,6.909565217,7.022307692,2.37037037,4.962962963,3.074074074
164,冷,B2,20,5.925,5.275,5.625,62.5,29.75,34,11.10192308,8.322272727,7.286,36.96296296,15.48148148,17.07407407
165,冷,B2,24,3.85,2.525,3.15,58,40.25,29.275,8.823333333,10.00695652,7.128,1.074074074,0.888888889,0.555555556
166,冷,C,0,3.96,2.72,2.34,61.66,64.26,60.22,3.31,6.8,5.85,nan,nan,nan
167,冷,C,1,3.58,1.8,1.52,63.12,66.32,61.2,7.87,7.85,2.08,nan,nan,nan
168,冷,C,2,3.08,1.18,0.58,65.38,68.94,62.1,4.83,5.57,2.95,nan,nan,nan
169,冷,C,3,2.7,0.66,0.02,66.2,69.62,64.82,5.77,4.54,1.87,nan,nan,nan
170,冷,C,4,2.78,0.04,-0.28,64,71.46,66.66,3.78,5.01,3.08,nan,nan,nan
171,冷,C,5,2.74,-0.5,-0.86,63.02,73.4,67.5,2.45,3.26,1.21,nan,nan,nan
172,冷,C,6,2.22,-0.86,-1.42,65.24,73.8,68.52,4.77,4.73,0.67,nan,nan,nan
173,冷,C,7,1.38,-1.3,-1.82,71.7,74.68,70.16,3.56,3.49,3.525,nan,nan,nan
174,冷,C,8,1.12,-1.62,-2,71.9,75.46,72.66,3.18,7.56,5.37,32.72685185,46.66666667,16
175,冷,C,9,1,-1.74,-2.28,72.5,76.84,72.8,5.49,4.6,5.045,nan,nan,nan
176,冷,C,10,2.4,-0.88,-1.42,68.7,77.1,73.44,2.08,4.22,3.15,nan,nan,nan
177,冷,C,11,4.8,1.14,0.68,61.5,70.56,66.94,5.42,4.6,5.01,nan,nan,nan
178,冷,C,12,6.78,3.44,2.76,58.6,63.6,58.34,3.8,1.96,2.88,15,5,23
179,冷,C,13,7.43,5.66,5.28,54.3,59.18,56.1,nan,nan,nan,nan,nan,nan
180,冷,C,14,9.69,7.9,6.1,53.2,52.24,52.56,nan,nan,nan,nan,nan,nan
181,冷,C,15,11.42,9.72,7.46,49.6,49.68,49.22,13.27107143,4.512424242,8.891747835,nan,nan,nan
182,冷,C,16,16.86,11.74,8.94,34.78,49.8,47.08,nan,nan,nan,nan,nan,nan
183,冷,C,17,10.2,11.24,9.3,49.98,50.36,47.98,nan,nan,nan,nan,nan,nan
184,冷,C,18,9.14,9.16,8.38,56,48.18,50.82,nan,nan,nan,nan,nan,nan
185,冷,C,19,7.64,7.42,7.02,55.22,50.64,52.24,nan,nan,nan,nan,nan,nan
186,冷,C,20,6.18,5.72,5.9,57.2,51.08,54.84,5.54,2.13,9.2,44.95833333,18,55
187,冷,C,21,4.78,4.8,5.08,58.74,54.2,56.5,5.38,2.85,3.83,nan,nan,nan
188,冷,C,22,3.94,3.76,4.62,61.04,56.54,59.08,2.56,3.44,6.83,nan,nan,nan
189,冷,C,23,3.42,3.32,4.34,63.4,59.8,60.2,9.77,3.19,8.48,nan,nan,nan
190,冷,C,24,2.72,2.34,3.96,64.26,60.22,61.66,5.02,3.86,3.8,38.22222222,18.8,60
