,序号,月份,GPS样点,样品号,铝（Al3961）,砷（As1890）,硼（B2089）,硼（B2496）,硼（B2497）,钡（Ba4934）,铍（Be2348）,钙（Ca3179）,镉（Cd2265）,铂（Co2286）,铂（Co2378）,铬（Cr2835）,铜（Cu3273）,铁（Fe2382）,铁（Fe2395）,铁（Hg2599）,汞（Hg1849）,汞（Hg1942）,钾（K7664）,钾（K7698）,镁（Mg2795）,镁（Mg2802）,镁（Mg2852）,锰（Mn2605）,钼（Mo2045）,钠（Na5895）,镍（Ni2316）,磷（P1774）,磷（P1782）,铅（Pb1822）,硒（Se1960）,硅（Si2124）,硅（Si2516）,硅（Si2881）,锡（Sn2429）,锡（Sn2839）,锶（Sr2152）,锶（Sr2165）,锶（Sr3464硅）,钛（Ti3234）,钛（Ti3361）,钒（V2924）,锌（Zn2062）
10,11,6,W02-3,st6-11,-0.2183,-0.0052,0.0167,0.0193,0.0057,0.0722,0.0002,20.55,-0.0001,-0.0002,0.0021,0.2607705,0.39725,-0.4816,-0.4769,-0.4745,-0.0044,-0.0176,0.7259,0.9266,9.156,9.487,7.164,-0.0007,0.008,0.3766,0.0004,0.007,0.0445,-0.0295,0.0008,1.609,2.673,2.514,-0.0059,-0.019,0.2916,0.5327,0.5856,-0.0039,0.0005,-0.0007,0.0254
11,12,6,W02-4,st6-12,-0.2155,-0.0027,0.0168,0.0187,0.0054,0.0161,0.0002,11.76,-0.0002,-0.0003,0.0016,0.8004248999999999,0.52325,-0.4779,-0.4721,-0.4691,-0.0044,-0.0155,0.2934,0.3744,11.45,11.83,9.061,-0.0011,0.0091,0.2469,-0.0057,0.0021,0.0347,-0.0257,0.0002,2.207,3.686,3.54,-0.009,-0.0181,0.3043,0.5582,0.6178,-0.0038,0.0002,0.0,0.0045
12,13,6,W02-5,st6-13,-0.1894,-0.0031,0.0116,0.0133,0.0021,0.0115,0.0001,2.151,-0.0001,0.0,0.0014,0.2298528,0.24359999999999996,-0.459,-0.4498,-0.446,-0.0045,-0.0097,0.5402,0.6939,7.902,8.246,6.178,0.0006,0.0095,0.2737,-0.0045,0.0262,0.1053,-0.0241,-0.001,0.1623,0.284,0.2718,0.0025,-0.0205,0.0519,0.0969,0.1085,-0.0033,0.0004,-0.0001,0.0085
13,14,6,W02-6,st6-14,-0.2183,-0.0041,0.0034,0.0041,-0.0035,0.005,0.0001,0.3831,-0.0001,-0.0003,0.0011,0.16957889999999998,0.25969999999999993,-0.4848,-0.4806,-0.4783,-0.0044,-0.0082,0.2527,0.3218,4.88,5.042,3.735,-0.0012,0.0078,0.1406,-0.0062,0.0046,0.0361,-0.0232,-0.0031,0.0336,0.0652,0.0625,0.0007,-0.0175,0.0134,0.0257,0.03,-0.004,-0.0004,-0.0011,0.0007
14,15,6,W02-7,st6-15,-0.2153,-0.0015,0.0293,0.0318,0.0142,0.0458,0.0002,25.26,-0.0001,-0.0002,0.0016,0.7042364999999999,0.42279999999999995,-0.3962,-0.3773,-0.3672,-0.0042,-0.013,0.3255,0.4143,7.155,7.278,5.473,-0.0008,0.0089,0.3005,-0.0054,0.0045,0.0426,-0.0253,-0.0004,0.9461,1.576,1.508,0.0066,-0.0161,0.2804,0.5139,0.5694,-0.0037,0.0008,-0.0008,-0.0005
15,16,6,W02-8,st6-16,-0.2176,-0.0036,0.0171,0.0187,0.0055,0.042,0.0001,22.19,-0.0001,-0.0001,0.002,0.0983745,0.2709,-0.4761,-0.4702,-0.4674,-0.0044,-0.011,0.4601,0.5872,5.255,5.403,4.027,-0.0011,0.0085,0.278,-0.0055,0.0054,0.0321,-0.0234,-0.001,1.138,1.878,1.785,-0.0035,-0.019,0.1987,0.3635,0.4011,-0.004,0.0006,-0.0009,0.0048
16,17,6,W02-9,st6-17,-0.2188,-0.0014,0.0374,0.0413,0.0194,0.0524,0.0002,23.26,-0.0001,-0.0003,0.0018,0.1667682,0.32725000000000004,-0.4773,-0.4716,-0.4687,-0.0041,-0.0116,0.6121,0.7819,10.06,10.38,7.918,-0.0008,0.0088,0.5345,-0.0062,0.0135,0.0228,-0.0281,-0.0002,1.692,2.81,2.678,-0.0024,-0.0182,0.3025,0.5533,0.6135,-0.0038,0.0006,-0.0009,0.0005
17,18,6,W03-1,st6-18,-0.2079,-0.0049,0.0203,0.0228,0.0081,0.0587,0.0002,24.57,-0.0002,-0.0001,0.0017,1.4072238000000001,0.6688500000000001,-0.4763,-0.4705,-0.4677,-0.0039,-0.0104,0.8908,1.151,3.232,3.256,2.435,-0.0009,0.0071,0.6526,0.002,0.0103,0.047,-0.02,-0.0009,1.497,2.514,2.412,-0.0009,-0.0198,0.4805,0.8802,0.9788,-0.0034,0.0011,-0.0006,0.0045
18,19,6,W03-2,st6-19,-0.214,-0.0052,0.0191,0.0208,0.0071,0.0195,0.0002,10.08,-0.0002,-0.0001,0.001,0.2033073,0.19635000000000002,-0.4817,-0.4767,-0.4741,-0.0044,-0.009,0.851,1.098,2.868,2.889,2.147,-0.001,0.0071,0.6364,0.0014,0.0062,0.0502,-0.0222,-0.0006,1.366,2.282,2.187,-0.0021,-0.0163,0.2463,0.4515,0.5007,-0.0037,0.0002,-0.0009,0.003
19,20,6,W03-3,st6-20,-0.2041,-0.0057,0.0203,0.0232,0.0079,0.0592,0.0002,24.88,0.0,-0.0002,0.0017,0.16551899999999997,0.17255000000000004,-0.4725,-0.4659,-0.4625,-0.0042,-0.01,0.9732,1.255,3.256,3.293,2.446,-0.0008,0.0076,0.6634,0.0021,0.0085,0.0605,-0.0241,0.0009,1.503,2.51,2.394,0.0003,-0.0181,0.484,0.8848,0.9831,-0.0035,0.001,-0.0007,0.0018
20,21,6,W03-4,st6-21,-0.2126,-0.0054,0.0026,0.0032,-0.0035,0.007,0.0002,1.506,-0.0001,-0.0002,0.0008,1.7460693,0.8382500000000002,-0.4806,-0.4757,-0.473,-0.0044,-0.0066,0.2582,0.3315,1.319,1.321,0.9852,-0.0009,0.0073,0.1505,-0.0032,0.008,0.0428,-0.0217,-0.0009,0.0851,0.1487,0.1438,0.0025,-0.0195,0.0435,0.0817,0.0931,-0.0035,0.0001,-0.0008,0.0061
21,22,6,W03-5,st6-22,-0.2203,-0.0052,0.0088,0.0096,0.0001,0.0058,0.0002,2.518,-0.0001,-0.0001,0.0009,0.2648304,0.31290000000000007,-0.4862,-0.4819,-0.4797,-0.0042,-0.0083,0.3388,0.4335,2.505,2.522,1.873,-0.0007,0.0066,0.2382,0.0007,0.0094,0.0639,-0.0233,-0.0011,0.0899,0.1567,0.1512,0.0003,-0.0176,0.0957,0.1753,0.1949,-0.0039,-0.0004,-0.0008,-0.0011
22,23,6,W03-6,st6-23,-0.216,-0.0055,0.0115,0.0132,0.0018,0.0258,0.0001,23.92,-0.0001,-0.0001,0.0009,0.2142378,0.45254999999999995,-0.4861,-0.4818,-0.4796,-0.004,-0.0096,0.4051,0.5164,3.041,3.07,2.286,-0.0013,0.0069,0.2815,0.0043,0.0038,0.0356,-0.025,-0.0006,1.478,2.465,2.361,-0.0067,-0.0172,0.6404,1.167,1.299,-0.0038,0.0007,-0.0011,-0.0035
23,24,6,W04-1,st6-24,-0.2187,-0.0063,-0.0033,-0.0027,-0.0078,0.0082,0.0002,1.887,-0.0001,-0.0001,0.0018,0.16926660000000002,0.15925,-0.4844,-0.4802,-0.4777,-0.0044,-0.0077,0.1787,0.2281,1.712,1.715,1.28,-0.0006,0.006,0.046,0.0099,0.0091,0.0473,-0.0223,-0.0012,0.0268,0.056,0.0558,-0.0073,-0.019,0.0649,0.1208,0.1372,-0.0038,-0.0002,-0.0008,0.0005
24,25,6,W04-2,st6-25,-0.2178,-0.0054,-0.0036,-0.0026,-0.0079,0.0077,0.0002,1.705,-0.0001,-0.0001,0.0018,0.20549340000000002,0.1904,-0.4838,-0.4797,-0.4774,-0.0043,-0.007,0.1399,0.1796,1.866,1.873,1.396,-0.001,0.0071,0.0408,-0.0017,0.0082,0.0414,-0.023,-0.0012,0.0392,0.0767,0.075,0.0064,-0.0172,0.0767,0.1417,0.1582,-0.0038,-0.0002,-0.0008,-0.0001
25,26,6,W04-3,st6-26,-0.2152,-0.0051,0.0031,0.0044,-0.0036,0.0632,0.0001,17.54,-0.0001,-0.0002,0.0017,0.3319749,0.44520000000000004,-0.4748,-0.4684,-0.466,-0.0043,-0.0082,0.4843,0.6208,6.186,6.433,4.804,-0.0008,0.0063,0.1615,0.011,0.0041,0.039,-0.0249,-0.0008,0.9177,1.524,1.457,0.0061,-0.0181,0.6938,1.265,1.398,-0.0038,0.0005,-0.0009,-0.0005
26,27,6,W05-1,st6-27,-0.2186,-0.0058,0.0166,0.0189,0.0053,0.0398,0.0002,24.11,-0.0001,-0.0001,0.0015,1.6564392000000001,0.77875,-0.4826,-0.4779,-0.4754,-0.0043,-0.0083,0.8233,1.058,5.772,6.067,4.553,-0.0012,0.0073,0.4344,0.027,0.0569,0.2734,-0.0238,-0.0004,1.937,3.193,3.062,-0.0052,-0.0189,0.1914,0.3483,0.3883,-0.0037,0.0006,-0.0005,-0.0012
27,28,6,W05-2,st6-28,-0.219,-0.0055,0.0157,0.018,0.0044,0.0436,0.0002,24.38,-0.0001,-0.0001,0.0016,0.2829438,0.36365,-0.4778,-0.4723,-0.4694,-0.0042,-0.0085,0.6303,0.8029,5.959,6.155,4.542,-0.0013,0.007,0.4184,0.001,0.0126,0.0506,-0.0212,-0.0007,1.965,3.267,3.084,-0.0003,-0.0177,0.1935,0.3523,0.3921,-0.0038,0.0006,-0.0008,-0.0032
28,29,6,W05-3,st6-29,-0.2007,-0.0051,0.0166,0.0192,0.0058,0.0432,0.0002,24.25,-0.0001,-0.0002,0.0009,0.16989120000000002,0.23345000000000002,-0.4796,-0.4743,-0.4714,-0.0041,-0.0091,0.6776,0.866,5.918,6.065,4.537,-0.0012,0.0075,0.4191,0.0332,0.0097,0.0524,-0.024,0.0002,1.973,3.264,3.117,-0.0027,-0.0188,0.1911,0.3495,0.3868,-0.0036,0.0008,-0.0008,-0.0009
29,30,6,W05-4,st6-30,-0.2122,-0.0029,0.0228,0.0256,0.0107,0.0586,0.0002,28.75,-0.0002,0.0,0.0018,1.0402713000000001,0.41824999999999996,-0.3253,-0.2946,-0.2786,-0.004,-0.011,1.465,1.901,7.778,7.867,6.037,0.0003,0.0078,1.022,0.0002,0.0852,0.4077,-0.0208,-0.0003,1.862,3.085,2.95,0.0089,-0.0203,0.235,0.431,0.4786,-0.0037,0.0011,-0.0008,0.0012
30,31,6,W05-5,st6-31,-0.2163,-0.0038,0.0235,0.0268,0.0115,0.0473,0.0002,27.28,-0.0001,0.0,0.0021,0.2354742,0.26075000000000004,-0.2578,-0.2172,-0.1957,-0.004,-0.01,1.079,1.38,8.057,8.382,6.292,-0.0007,0.0067,1.111,0.0046,0.0228,0.105,-0.0212,-0.0002,2.115,3.542,3.329,0.0117,-0.0165,0.2366,0.4335,0.4829,-0.0035,0.0012,-0.0006,-0.0003
31,32,6,W05-6,st6-32,-0.2175,-0.0034,0.0289,0.0328,0.0141,0.0316,0.0002,16.45,-0.0002,-0.0001,0.0026,0.2660796,0.30625,-0.4302,-0.4167,-0.41,-0.0042,-0.0092,0.4736,0.5993,6.704,7.037,5.121,-0.0012,0.0073,0.8955,0.0056,0.0197,0.1009,-0.0228,-0.0006,1.029,1.726,1.601,0.0024,-0.0192,0.1527,0.2803,0.3101,-0.0036,0.0004,-0.0007,-0.003
32,33,6,W05-7,st6-33,-0.2178,-0.0053,0.0179,0.0201,0.0066,0.0562,0.0002,24.92,0.0,-0.0002,0.001,1.0140381,0.63595,-0.46,-0.4521,-0.4473,-0.0042,-0.0082,0.4986,0.6353,4.578,4.696,3.452,-0.0014,0.0073,0.4441,0.0002,0.01,0.0395,-0.0241,-0.0008,1.343,2.251,2.121,-0.0017,-0.0173,0.2974,0.5451,0.6057,-0.0039,0.0007,-0.0011,-0.0043
33,34,6,W05-8,st6-34,-0.2186,-0.0052,0.0174,0.0199,0.0063,0.0559,0.0002,24.8,-0.0001,-0.0001,0.0017,0.23328810000000005,0.32270000000000004,-0.4604,-0.4521,-0.4483,-0.0041,-0.0078,0.4932,0.6293,4.469,4.642,3.428,-0.0014,0.0071,0.4379,0.0169,0.0041,0.0294,-0.0211,-0.0008,1.352,2.257,2.125,0.0043,-0.0178,0.2973,0.5438,0.6018,-0.0036,0.0008,-0.0007,-0.0045
34,35,6,W05-9,st6-35,-0.2163,-0.0052,0.0207,0.0235,0.0086,0.0559,0.0002,24.43,-0.0002,-0.0003,0.0011,0.21049020000000002,0.3122,-0.4711,-0.4649,-0.4611,-0.004,-0.0078,0.5773,0.7388,4.36,4.511,3.358,-0.001,0.0076,0.438,-0.0016,0.004,0.0362,-0.0247,-0.0014,1.353,2.248,2.142,-0.0049,-0.0188,0.2934,0.5389,0.597,-0.0038,0.0007,-0.0009,0.0024
35,36,6,W06-1,st6-36,-0.2153,0.0049,0.0167,0.0191,0.0058,0.0395,0.0002,9.793,-0.0002,-0.0001,0.002,0.7954281000000001,0.31465,-0.4729,-0.4666,-0.4635,-0.0041,-0.0079,0.4032,0.515,3.924,3.975,2.942,-0.001,0.008,1.649,-0.0011,0.0327,0.1922,-0.0215,-0.0024,1.483,2.478,2.363,-0.0082,-0.0188,0.1157,0.2128,0.238,-0.004,0.0,0.0,0.0036
36,37,6,W06-2,st6-37,-0.1827,-0.0031,0.125,0.1365,0.0781,0.0736,0.0002,14.06,-0.0001,-0.0002,0.0016,0.1948752,0.4102,-0.433,-0.4205,-0.4138,-0.0041,-0.0089,0.6737,0.8601,4.803,4.854,3.587,-0.0001,0.0078,2.666,-0.0006,0.0004,0.0663,-0.0219,-0.0003,1.353,2.268,2.147,0.001,-0.0182,0.1603,0.2938,0.3259,-0.0032,0.001,-0.0007,0.0
37,38,6,W06-3,st6-38,-0.22,0.0026,0.1162,0.1256,0.0734,0.0824,0.0002,22.12,-0.0002,-0.0001,0.0015,0.17270190000000002,0.1722,-0.475,-0.469,-0.466,-0.0039,-0.0108,1.388,1.826,6.416,6.571,4.923,-0.0013,0.0068,1.476,-0.0019,0.1363,0.6299,-0.0213,-0.001,1.586,2.65,2.554,0.004,-0.0198,0.315,0.578,0.6437,-0.0038,0.0006,-0.0006,-0.0007
38,39,6,W06-4,st6-39,0.3249,-0.0029,0.0462,0.0508,0.0276,0.103,0.0002,17.64,-0.0001,0.0001,0.0017,0.11711249999999998,0.3059,-0.1018,-0.0368,-0.0023,-0.0041,-0.0087,12.53,17.96,2.273,2.285,1.698,0.0021,0.0123,0.2919,0.0022,0.0989,0.4452,-0.0215,-0.0005,1.514,2.547,2.416,0.0282,-0.0192,0.1061,0.195,0.2199,0.0041,0.0096,0.002,0.0004
39,40,6,W06-5,st6-40,-0.1592,-0.0045,0.0463,0.0517,0.0257,0.1255,0.0002,21.58,-0.0001,0.0,0.0014,0.11180340000000001,0.32165000000000005,-0.4185,-0.4032,-0.3952,-0.0043,-0.0096,13.12,18.66,2.596,2.626,1.941,-0.0001,0.0113,0.2918,-0.0004,0.0552,0.2813,-0.0238,-0.0002,1.481,2.469,2.341,0.003,-0.0183,0.124,0.2266,0.2531,-0.0025,0.0022,0.0005,-0.0001
40,41,6,W06-6,st6-41,0.1213,-0.0035,0.0482,0.0533,0.028,0.1014,0.0002,16.53,-0.0001,0.0002,0.0023,0.13522589999999998,0.315,-0.2582,-0.2169,-0.1955,-0.0041,-0.0092,13.72,19.32,2.103,2.113,1.574,0.001,0.0139,0.3032,0.0025,0.1078,0.5112,-0.0216,-0.0007,1.272,2.133,2.038,0.017,-0.0184,0.0948,0.1742,0.1961,0.0029,0.008,0.0017,-0.0006
41,42,6,W06-7,st6-42,-0.2112,-0.004,0.0243,0.0267,0.0107,0.018,0.0002,7.508,-0.0001,-0.0001,0.0015,0.18987839999999997,0.2611,-0.4781,-0.4727,-0.4698,-0.0042,-0.0068,0.2196,0.28,2.959,2.984,2.217,-0.0013,0.0077,0.508,-0.0052,0.0118,0.049,-0.0233,-0.0016,0.2898,0.492,0.4731,0.002,-0.0189,0.0666,0.1233,0.1379,-0.0038,0.0,-0.0006,-0.0023
42,43,6,W06-8,st6-43,-0.214,-0.0042,0.0203,0.0224,0.0081,0.0173,0.0002,7.223,-0.0002,-0.0001,0.0018,0.23672339999999997,0.2842,-0.4764,-0.4706,-0.4675,-0.0044,-0.0071,0.2441,0.3101,3.069,3.095,2.297,0.0006,0.0071,0.5189,-0.0007,0.0178,0.0791,-0.0182,-0.0021,0.1412,0.2448,0.2342,0.0022,-0.0173,0.0653,0.1201,0.1348,-0.0038,-0.0001,-0.0006,0.0007
43,44,6,W06-9,st6-44,-0.2066,-0.0035,0.0202,0.023,0.0085,0.0163,0.0002,6.865,0.0,0.0,0.0021,0.21392549999999996,0.23555,-0.426,-0.4115,-0.404,-0.0042,-0.0073,0.348,0.444,2.738,2.765,2.042,-0.0003,0.0067,0.5125,0.0149,0.023,0.0905,-0.0212,-0.002,0.1962,0.3403,0.3252,0.0053,-0.018,0.0604,0.1115,0.1256,-0.0037,0.0,-0.0005,0.0095
44,45,6,W07-1,st6-45,-0.0399,-0.0042,0.0155,0.0173,0.0069,0.028,0.0002,7.322,-0.0001,-0.0001,0.0017,0.1524024,0.3520999999999999,-0.0913,-0.0228,0.0138,-0.0042,-0.007,0.5994,0.7673,1.636,1.651,1.22,0.0006,0.007,0.2623,-0.0028,0.0099,0.0545,-0.0174,-0.0015,1.514,2.515,2.388,0.0236,-0.0185,0.0705,0.1295,0.1442,-0.0003,0.004,-0.0002,-0.0026
45,46,6,W07-2,st6-46,-0.2075,-0.0057,-0.0008,0.0,-0.0061,0.0071,0.0001,1.02,-0.0001,0.0,0.0019,0.8944272000000001,0.42455,-0.4717,-0.4649,-0.4617,-0.0044,-0.0058,0.1627,0.208,0.4113,0.413,0.3034,0.0002,0.0069,0.074,0.0497,0.0098,0.0567,-0.0244,-0.0022,0.0391,0.0843,0.081,-0.0062,-0.0175,0.008,0.0165,0.021,-0.0036,0.0001,-0.0009,0.002
46,47,6,W07-3,st6-47,0.0398,-0.0051,0.0154,0.0175,0.0071,0.0277,0.0002,7.307,-0.0001,-0.0001,0.0023,0.28388070000000004,0.308,-0.009,0.0742,0.1169,-0.0042,-0.0067,0.5319,0.6815,1.646,1.656,1.228,0.0011,0.0067,0.2604,0.0061,0.0072,0.0743,-0.0205,-0.0016,1.568,2.603,2.498,0.0345,-0.0188,0.0698,0.1279,0.1429,0.0006,0.0049,0.0,-0.0033
47,48,6,W07-4,st6-48,-0.2197,-0.0054,0.0238,0.0258,0.0105,0.0187,0.0001,8.371,-0.0001,-0.0002,0.0019,0.1886292,0.24814999999999998,-0.4823,-0.4776,-0.4752,-0.0041,-0.0068,0.9817,1.271,6.596,6.727,5.128,-0.0012,0.0068,0.7747,0.0038,0.0005,0.0317,-0.0245,-0.0034,0.9468,1.579,1.532,0.0003,-0.0182,0.125,0.2294,0.2553,-0.0038,0.0,-0.0011,-0.0036
48,49,6,W07-5,st6-49,-0.2193,-0.0051,0.0249,0.027,0.0114,0.0511,0.0002,22.49,-0.0001,0.0001,0.0019,1.2894866999999999,0.80955,-0.4324,-0.4191,-0.4123,-0.0041,-0.0078,0.9538,1.234,6.92,7.109,5.472,-0.0005,0.007,0.8126,0.0767,0.0025,0.0388,-0.0254,-0.0013,0.8796,1.461,1.418,0.0018,-0.0185,0.2699,0.4932,0.5507,-0.0037,0.0006,-0.001,-0.0031
49,50,6,W07-6,st6-50,-0.2183,-0.0051,0.0247,0.0282,0.0121,0.0526,0.0002,23.58,-0.0002,-0.0001,0.002,0.13335210000000003,0.20650000000000002,-0.387,-0.3673,-0.3566,-0.0041,-0.008,1.081,1.383,7.136,7.328,5.482,-0.0012,0.0071,0.8318,0.0014,0.0066,0.0343,-0.0193,-0.0008,0.8942,1.504,1.414,0.0102,-0.018,0.2766,0.5044,0.5626,-0.0038,0.0006,-0.001,-0.0034
50,51,6,W07-7,st6-51,-0.2164,-0.0054,-0.0014,-0.0005,-0.0065,0.0104,0.0002,3.009,-0.0001,-0.0002,0.0017,0.12710610000000003,0.18025,-0.4836,-0.4793,-0.4768,-0.0042,-0.0064,0.1965,0.2489,1.468,1.497,1.083,-0.0003,0.0072,0.1293,0.0025,-0.0018,0.0505,-0.025,-0.0013,0.1942,0.3305,0.3088,0.0013,-0.0181,0.0251,0.047,0.063,-0.004,-0.0003,-0.0003,0.0041
51,52,6,W07-8,st6-52,-0.2198,-0.0048,0.0006,0.0019,-0.0051,0.005,0.0002,0.7379,-0.0001,-0.0001,0.0017,1.1255292,0.4889500000000001,-0.485,-0.4806,-0.4785,-0.0046,-0.0064,0.2045,0.2603,1.965,1.999,1.45,-0.0012,0.0069,0.1945,0.0012,0.0074,0.0474,-0.0221,-0.0013,0.0775,0.1385,0.1299,-0.0074,-0.0191,0.0079,0.0158,0.0191,-0.0039,-0.0004,0.0,-0.0036
52,53,6,W07-9,st6-53,-0.2158,-0.0053,0.0109,0.0127,0.0017,0.0216,0.0002,18.89,0.0,-0.0002,0.0018,0.2292282,0.23870000000000005,-0.4829,-0.4783,-0.4756,-0.0042,-0.0073,0.4259,0.5399,4.683,4.832,3.535,-0.0014,0.0065,0.3679,-0.0058,0.0013,0.0457,-0.0236,-0.0018,2.266,3.789,3.561,0.0022,-0.0189,0.1675,0.3069,0.3409,-0.0038,0.0005,0.0003,-0.0023
53,54,6,W08-1,st6-54,-0.1974,-0.0058,0.0063,0.0085,-0.0011,0.0328,0.0002,14.68,-0.0001,0.0001,0.0019,0.16864200000000001,0.2156,-0.43,-0.4168,-0.4096,-0.0043,-0.0067,0.6575,0.8401,2.291,2.323,1.707,0.0013,0.0068,0.2938,0.1328,0.0118,0.0685,-0.0193,-0.0012,1.739,2.909,2.745,-0.0037,-0.0188,0.1533,0.2808,0.3115,-0.0034,0.0007,-0.0008,0.0022
