,序号,月份,GPS样点,样品号,铝（Al3961）,砷（As1890）,硼（B2089）,硼（B2496）,硼（B2497）,钡（Ba4934）,铍（Be2348）,钙（Ca3179）,镉（Cd2265）,铂（Co2286）,铂（Co2378）,铬（Cr2835）,铜（Cu3273）,铁（Fe2382）,铁（Fe2395）,汞（Hg1849）,汞（Hg1942）,钾（K7664）,钾（K7698）,镁（Mg2795）,镁（Mg2802）,镁（Mg2852）,锰（Mn2605）,钼（Mo2045）,钠（Na5895）,镍（Ni2316）,磷（P1774）,磷（P1782）,铅（Pb1822）,硒（Se1960）,硅（Si2124）,硅（Si2516）,硅（Si2881）,锡（Sn2429）,锡（Sn2839）,锶（Sr2152）,锶（Sr2165）,锶（Sr3464硅）,钛（Ti3234）,钛（Ti3361）,钒（V2924）,锌（Zn2062）,汞（Hg2599）
28,29,6,S04-2,tr6-29,60.35,0.189222,0.187,0.0559,0.1689,0.7508,^ *****,14.87,0.0018777777777777777,0.1154,0.0427,0.2829438,0.36365,90.86,58.47,-0.0078,-0.0164,^ *****,28.24,14.9,20.95,^ *****,2.961,0.0241,0.1785,0.5745,4.219,5.099,0.2762,-0.0181,0.6611,0.6082,0.272,3.732,0.0659,0.136,0.7412,0.5297,2.319,3.604,0.4174,0.4027,
29,30,6,S04-3,tr6-30,34.57,0.145422,0.0541,-0.0358,0.0818,0.3551,^ *****,6.005,0.0012888888888888891,0.0804,0.0815,0.16989120000000002,0.23345000000000002,77.92,49.61,-0.0077,-0.0091,9.264,12.48,13.33,15.5,8.273,1.252,0.0126,0.1185,0.3813,3.54,4.227,0.1668,-0.0151,0.8618,0.815,0.3803,2.719,0.0144,0.0683,0.2816,0.1816,1.651,2.551,0.2559,0.2879,
30,31,6,S05-1,tr6-31,^ *****,0.17182200000000003,0.2377,0.0838,1.871,1.289,0.0132,95.08,0.005244444444444444,0.1203,0.1948,1.0402713000000001,0.41824999999999996,175.1,^ *****,-0.0037,-0.0079,18.94,28.36,35.25,40.43,35,6.299,0.0258,0.2668,0.4059,3.269,15.58,1.945,-0.0271,0.5894,0.9361,0.8759,25.52,-0.0351,0.4074,0.8436,0.9357,5.845,6.579,0.3778,0.3685,
31,32,6,S05-2,tr6-32,45.59,0.156222,0.0977,-0.0196,0.1201,0.5237,^ *****,9.546,0.0017000000000000001,0.0974,0.0944,0.2354742,0.26075000000000004,88.32,56.92,-0.0081,-0.0129,14.59,20.24,16.09,18.94,10.3,1.898,0.0189,0.1602,0.4624,5.829,6.95,0.2087,-0.0192,0.3495,0.3122,0.1313,3.453,0.0344,0.1035,0.4135,0.2708,2.526,3.954,0.3383,0.3746,
32,33,6,S05-3,tr6-33,51.85,0.16872199999999998,0.1925,0.0436,0.1914,0.7029,^ *****,17.1,0.002022222222222222,0.1096,0.1021,0.2660796,0.30625,101.9,63.5,-0.008,-0.0198,16.38,21.67,17.6,21.01,11.54,3.499,0.0232,0.1917,0.4931,1.533,2.435,0.2046,-0.021,0.9207,0.8357,0.3894,3.916,0.0384,0.1375,0.5788,0.4064,2.797,4.324,0.3736,0.4691,
33,34,6,S05-4,tr6-34,^ *****,0.158322,0.3438,0.2653,1.366,2.37,0.013,101.3,0.0035555555555555557,0.125,0.2125,1.0140381,0.63595,138.9,185.6,-0.0073,-0.0164,^ *****,41.5,32.74,36.44,31.06,19.19,0.0332,0.3041,0.4096,4.935,23.61,1.29,-0.0019,0.597,0.9649,0.8822,16.86,0.0235,0.5876,1.132,1.294,5.044,5.707,0.4518,0.5388,
34,35,6,S05-5,tr6-35,53.98,0.159622,0.2083,0.1119,0.156,0.9168,^ *****,26.55,0.001477777777777778,0.0866,0.0179,0.23328810000000005,0.32270000000000004,75.7,48.35,-0.0081,-0.0181,^ *****,24.79,13.81,16.48,8.885,2.132,0.0191,0.2201,0.4229,7.308,8.563,0.2162,-0.009,0.4437,0.4104,0.176,2.641,0.0513,0.137,0.6323,0.4598,1.99,3.093,0.3526,0.3597,
35,36,6,S05-6,tr6-36,49.22,0.21592199999999998,0.2125,0.1046,0.1655,0.8812,^ *****,^ *****,0.0015555555555555557,0.06620000000000001,0.0131,0.21049020000000002,0.3122,80.83,52.42,-0.0077,-0.0225,15.27,21.42,12.39,14.95,^ *****,0.4753,0.0168,0.2266,0.3683,11.87,13.97,0.198,-0.0151,0.3363,0.3077,0.1289,3.002,0.0261,0.181,0.7065,0.5219,1.77,2.763,0.3314,0.4051,
36,37,6,S05-7,tr6-37,^ *****,0.14722200000000002,0.1628,0.0737,1.146,1.017,0.0109,70.85,0.0032111111111111108,0.0992,0.15489999999999998,0.7954281000000001,0.31465,132.8,176.6,-0.0042,-0.0068,17.8,26.95,33.8,37.54,31.82,2.483,0.024,0.19,0.3292,2.951,13.99,1.204,-0.0162,0.5854,0.9319,0.8639,15.56,-0.04,0.4044,0.7974,0.8965,7.051,8.0,0.3754,0.307,
37,38,6,S05-8,tr6-38,41.02,0.198922,0.1844,0.0631,0.1597,0.8425,^ *****,39.4,0.0017444444444444443,0.1364,0.1449,0.1948752,0.4102,81.63,52.77,-0.0095,-0.0375,11.81,16.14,12.11,14.61,7.473,12.29,0.018,0.1807,0.4893,7.539,8.988,0.1821,-0.0008,0.4153,0.3729,0.1525,3.082,0.1436,0.1799,0.9369,0.6869,1.428,2.306,0.2874,0.3733,
38,39,6,S05-9,tr6-39,32.3,0.130222,0.0509,-0.0288,0.0693,0.3284,^ *****,28.29,0.0012222222222222224,0.07730000000000001,0.0756,0.17270190000000002,0.1722,68.62,43.46,-0.0075,-0.0097,8.374,11.03,15.53,18.29,10.09,0.9847,0.0099,0.1391,0.3623,3.918,4.499,0.1671,-0.0129,0.3691,0.3462,0.1463,2.333,0.0128,0.1092,0.6318,0.4678,2.123,3.338,0.2386,0.3045,
39,40,6,S06-1,tr6-40,20.44,0.23860199999999998,0.0641,-0.0962,0.122,1.01,^ *****,277.7,0.002288888888888889,0.0879,0.0851,0.11711249999999998,0.3059,90.1,61.44,-0.0102,-0.0142,8.661,11.68,9.665,11.07,6.132,5.808,0.0062,0.2374,0.2135,2.309,2.592,0.125,-0.0248,0.5869,0.5417,0.243,4.245,0.0345,0.4188,2.889,2.305,0.763,1.162,0.1337,0.1197,
40,41,6,S06-2,tr6-41,18.18,0.269322,0.0632,-0.0755,0.109,0.8539,^ *****,204,0.002111111111111111,0.0845,0.0871,0.11180340000000001,0.32165000000000005,83.5,55.45,-0.0105,-0.0155,7.299,9.522,10.13,11.95,6.531,5.937,0.0049,0.2412,0.21359999999999998,2.872,3.153,0.1414,-0.0175,0.3528,0.314,0.1295,3.632,0.0386,0.4042,2.799,2.221,0.6395,1.003,0.1203,0.1217,
41,42,6,S06-3,tr6-42,26.76,0.225322,0.0957,-0.0314,0.1186,1.032,^ *****,^ *****,0.0018444444444444443,0.08700000000000001,0.0853,0.13522589999999998,0.315,83.62,55.78,-0.0095,-0.0176,8.348,11.08,9.98,12.17,^ *****,2.924,0.0078,0.1927,0.26389999999999997,4.362,4.91,0.152,-0.0177,0.4129,0.3774,0.1627,3.446,0.0185,0.2992,1.909,1.498,0.8999,1.39,0.1719,0.1768,
42,43,6,S06-4,tr6-43,40.14,0.163322,0.1127,0.0135,0.1115,0.4868,^ *****,9.513,0.001388888888888889,0.0811,0.0877,0.18987839999999997,0.2611,78.33,50.2,-0.0073,-0.009,14.22,19.72,12.98,15.3,7.916,1.523,0.0151,0.1248,0.4148,3.455,3.951,0.1931,-0.0159,0.4643,0.4278,0.1833,2.862,0.0317,0.0687,0.3333,0.2121,1.024,1.6,0.2686,0.3093,
43,44,6,S06-5,tr6-44,49.48,0.180622,0.0896,-0.04,0.1241,0.6142,^ *****,6.277,0.0018444444444444443,0.0935,0.0944,0.23672339999999997,0.2842,92.8,60,-0.0075,-0.0138,13,17.72,14.95,17.35,9.335,1.59,0.0172,0.1396,0.4518,3.934,4.715,0.2542,-0.0212,0.582,0.5315,0.2368,3.824,0.0362,0.0867,0.3774,0.2375,1.868,2.916,0.3428,0.3686,
44,45,6,S06-7,tr6-45,47.26,0.390622,0.1418,0.0473,0.131,0.5302,^ *****,32.67,0.0013444444444444448,0.0755,0.0708,0.21392549999999996,0.23555,80.46,47.87,-0.0067,-0.0354,10.65,13.68,15.06,17.57,9.404,1.164,0.0141,0.1617,0.4268,0.7725,1.253,0.1598,-0.0125,1.11,1.029,0.4887,2.477,0.0207,0.1445,0.8704,0.6849,1.513,2.344,0.3013,0.311,
45,46,6,S06-8,tr6-46,32.13,0.214922,0.1497,0.0866,0.1013,0.3675,^ *****,39.6,0.0008222222222222222,0.048600000000000004,0.0527,0.1524024,0.3520999999999999,53.35,32.86,-0.007,-0.0339,7.093,9.285,10.97,12.74,6.688,0.5541,0.0103,0.143,0.3083,7.271,8.254,0.1407,-0.0046,0.3237,0.3054,0.1235,1.597,0.0144,0.1403,0.7406,0.5649,0.7963,1.24,0.2081,0.2093,
46,47,6,S07-1,tr6-47,^ *****,0.162422,0.1684,0.0584,1.4,1.505,0.013,28.06,0.003855555555555556,0.1032,0.175,0.8944272000000001,0.42455,150.9,202.7,-0.0048,-0.0087,23.08,35.36,28.49,31.06,25.72,4.265,0.0272,0.1665,0.3896,3.324,15.76,1.501,-0.0199,0.3599,0.5816,0.5319,19.25,-0.0128,0.2292,0.49,0.5322,4.319,4.81,0.3832,0.4015,
47,48,6,S07-2,tr6-48,58.04,0.157922,0.1151,-0.0179,0.1448,0.7307,^ *****,12.64,0.0018333333333333329,0.1081,0.1078,0.28388070000000004,0.308,100.2,61.22,-0.0081,-0.0137,^ *****,24.57,18.27,21.2,11.75,2.287,0.0167,0.1729,0.5415000000000001,0.7665,1.219,0.196,-0.021,0.9341,0.841,0.3941,3.555,0.0357,0.0994,0.4661,0.3223,2.75,4.142,0.3946,0.4553,
48,49,6,S07-3,tr6-49,49.27,0.181922,0.0866,-0.025,0.1109,0.6042,^ *****,7.106,0.0038777777777777777,0.0862,0.094,0.1886292,0.24814999999999998,85.17,55.13,-0.0078,-0.0104,15.84,22.55,13.31,15.65,8.515,2.634,0.0138,0.1466,0.4188,5.849,6.429,0.4514,-0.0171,0.6925,0.6771,0.3082,3.341,0.0434,0.081,0.3523,0.2271,1.187,1.86,0.2828,0.3811,
49,50,6,S07-4,tr6-50,^ *****,0.172022,0.2091,0.0491,1.898,2.014,0.0186,32.79,0.005322222222222223,0.1422,0.24659999999999999,1.2894866999999999,0.80955,^ *****,^ *****,-0.0052,-0.0087,^ *****,51.88,36.33,41.36,35.88,5.736,0.0341,0.2551,0.6194000000000001,3.534,16.52,2.04,-0.0282,0.5058,0.8134,0.748,26.28,-0.011,0.2872,0.6231,0.6791,6.958,7.966,0.5631,0.4939,
50,51,6,S07-5,tr6-51,28.76,0.156022,0.0714,-0.0251,0.0906,0.4074,^ *****,38.49,0.0016000000000000003,0.0772,0.0459,0.13335210000000003,0.20650000000000002,74.67,49.01,-0.0081,-0.0116,10.28,14.04,9.845,11.47,5.855,2.628,0.0094,0.1229,0.3446,5.243,5.785,0.1715,-0.0149,0.6297,0.6051,0.268,2.787,0.0255,0.107,0.5935,0.4224,1.112,1.728,0.2031,0.2443,
51,52,6,S07-6,tr6-52,24.29,0.133422,0.0443,-0.0472,0.0755,0.3447,^ *****,50.74,0.0014333333333333333,0.0698,0.07066,0.12710610000000003,0.18025,73.39,48.21,-0.0082,-0.0098,9.23,12.39,9.867,11.26,5.814,3.159,0.008,0.1194,0.3114,4.529,5.029,0.1471,-0.0132,0.3817,0.3191,0.1312,2.684,0.0226,0.1202,0.7295,0.5355,0.8741,1.369,0.1685,0.1986,
52,53,6,S07-7,tr6-53,^ *****,0.187622,0.19,0.0744,1.471,1.628,0.0157,73.34,0.004044444444444444,0.08700000000000001,0.1737,1.1255292,0.4889500000000001,153.8,207.9,-0.0032,-0.0176,22.1,33.75,29.17,32.24,26.97,1.529,0.0319,0.249,0.4044,4.627,21.72,1.604,-0.0156,0.6993,1.134,1.044,20.12,0.0244,0.6008,1.168,1.337,4.291,4.881,0.5285,0.4221,
53,54,6,S07-7,tr6-54,48.21,0.204522,0.1355,0.0264,0.1303,0.5127,^ *****,28.41,0.001577777777777778,0.0634,0.0677,0.2292282,0.23870000000000005,82.03,53.69,-0.0069,-0.0293,11.81,16.23,11.79,13.52,7.387,0.4122,0.0154,0.1709,0.3693,10.67,12.01,0.2388,-0.0137,0.6446,0.6235,0.2834,3.136,0.0267,0.1802,0.8879,0.6733,1.499,2.34,0.353,0.2918,
54,55,6,S07-8,tr6-55,34.36,0.17182200000000003,0.129,-0.0268,0.158,0.4188,^ *****,132.8,0.0021999999999999997,0.12090000000000001,0.1248,0.16864200000000001,0.2156,97.47,66.35,-0.007,-0.0304,8.765,11.75,10.29,12.23,6.477,0.6855,0.0135,0.1504,0.3319,9.961,11.23,0.2156,-0.0262,0.5719,0.5344,0.2432,4.597,0.003,0.1844,0.922,0.6734,1.128,1.783,0.2425,0.3198,
55,56,6,S07-9,tr6-56,39.94,0.23452199999999998,0.1573,-0.0231,0.1971,0.5518,^ *****,^ *****,0.0024555555555555554,0.07680000000000001,0.0826,0.1992474,0.25550000000000006,111.8,71.55,-0.0067,-0.0299,14.71,18.97,12.39,14.78,^ *****,1.59,0.0164,0.1653,0.39949999999999997,1.372,2.199,0.2003,-0.0284,1.291,1.188,0.5728,4.841,0.0057,0.1697,0.8565,0.6348,1.454,2.259,0.2623,0.4089,
56,57,6,S08-1,tr6-57,^ *****,0.15892199999999998,0.1648,0.0546,1.36,1.549,0.0137,63.08,0.0038222222222222225,0.1058,0.1825,0.9512658,0.42174999999999996,148.4,199.8,-0.0041,-0.0081,^ *****,39.36,30.93,34.47,29.39,3.195,0.0269,0.2427,0.3943,2.272,10.73,1.477,-0.0199,0.556,0.8984,0.8302,18.75,-0.0162,0.4351,0.8639,0.9727,5.492,6.244,0.4326,0.3526,
57,58,6,S08-2,tr6-58,32.19,0.205322,0.0804,^ *****,0.8142,0.3854,0.0068,35.74,0.0031666666666666666,0.09280000000000001,0.24839999999999998,0.36507870000000003,0.36575,59.11,19.17,-0.0051,-0.049,15.54,16.05,11.71,13.98,6.818,3.088,0.0154,0.1277,0.4576,0.732,6.19,1.304,-0.0244,0.4403,0.2967,0.0908,12.12,-0.0055,0.8608,1.13,0.5802,1.865,3.187,0.2588,0.4604,
